Select 	CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Part of Term 	Title 	Days 	Time 	Cap 	Act 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
SR 	83287 	CSCE 	102 	010 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	11:40 am-12:30 pm 	24 	23 	1 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	12:00 pm-12:50 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
C 	83288 	CSCE 	102 	011 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	11:40 am-12:30 pm 	24 	24 	0 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	01:10 pm-02:00 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83290 	CSCE 	102 	012 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	11:40 am-12:30 pm 	24 	15 	9 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	02:20 pm-03:10 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83291 	CSCE 	102 	013 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	06:40 pm-07:30 pm 	24 	3 	21 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	T 	05:30 pm-06:20 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83293 	CSCE 	102 	014 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	06:40 pm-07:30 pm 	24 	3 	21 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	05:30 pm-06:20 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83298 	CSCE 	102 	015 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	06:40 pm-07:30 pm 	24 	2 	22 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	05:30 pm-06:20 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83300 	CSCE 	102 	016 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	05:30 pm-06:20 pm 	24 	5 	19 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	T 	07:00 pm-07:50 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83301 	CSCE 	102 	017 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	05:30 pm-06:20 pm 	24 	3 	21 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	W 	07:00 pm-07:50 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
SR 	83302 	CSCE 	102 	018 	COL 	3.000 	30 - Columbia Full Term 	General Applications Programming 	TR 	05:30 pm-06:20 pm 	24 	1 	23 	TBA 	08/21-12/05 	SMWALT 305 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	R 	07:00 pm-07:50 pm 	  	  	  	TBA 	08/21-12/05 	SMWALT 361 	ARP Analytical Reasoning
C 	94229 	CSCE 	102 	Z01 	COL 	3.000 	3A4 - Columbia 	General Applications Programming 	  	TBA 	15 	15 	0 	James Orren McKay (P) 	08/25-12/09 	TBA 	ARP Analytical Reasoning and Ft. Jackson Location
SR 	94378 	CSCE 	102 	Z1B 	COL 	3.000 	3B2 - Columbia 	General Applications Programming 	TR 	05:20 pm-07:50 pm 	15 	4 	11 	James Orren McKay (P) 	10/20-12/09 	FJAC 1 	ARP Analytical Reasoning and Ft. Jackson Location
SR 	83317 	CSCE 	145 	001 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	10:50 am-11:40 am 	24 	20 	4 	TBA 	08/21-12/05 	SWGN 2A14 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	08:00 am-09:55 am 	  	  	  	TBA 	08/21-12/05 	SWGN 1D15 	ARP Analytical Reasoning
SR 	83320 	CSCE 	145 	002 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	10:50 am-11:40 am 	24 	20 	4 	TBA 	08/21-12/05 	SWGN 2A14 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	10:05 am-12:00 pm 	  	  	  	TBA 	08/21-12/05 	SWGN 1D15 	ARP Analytical Reasoning
C 	83321 	CSCE 	145 	003 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	24 	0 	TBA 	08/21-12/05 	SWGN 2A14 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	01:15 pm-03:10 pm 	  	  	  	TBA 	08/21-12/05 	SWGN 1D15 	ARP Analytical Reasoning
SR 	83323 	CSCE 	145 	004 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	01:10 pm-02:00 pm 	24 	11 	13 	TBA 	08/21-12/05 	SWGN 2A14 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	08:00 am-09:55 am 	  	  	  	TBA 	08/21-12/05 	SWGN 1D11 	ARP Analytical Reasoning
SR 	83324 	CSCE 	145 	005 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	03:30 pm-04:20 pm 	24 	14 	10 	TBA 	08/21-12/05 	SWGN 2A14 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	03:30 pm-05:25 pm 	  	  	  	TBA 	08/21-12/05 	SWGN 1D15 	ARP Analytical Reasoning
SR 	83326 	CSCE 	145 	006 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	03:30 pm-04:20 pm 	24 	4 	20 	TBA 	08/21-12/05 	SWGN 2A14 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	05:30 pm-07:25 pm 	  	  	  	TBA 	08/21-12/05 	SWGN 1D15 	ARP Analytical Reasoning
SR 	91401 	CSCE 	145 	007 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	05:50 pm-06:40 pm 	24 	4 	20 	TBA 	08/21-12/05 	SWGN 2A14 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	10:05 am-12:00 pm 	  	  	  	TBA 	08/21-12/05 	SWGN 1D11 	ARP Analytical Reasoning
SR 	91983 	CSCE 	145 	008 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design I 	MW 	05:50 pm-06:40 pm 	24 	6 	18 	TBA 	08/21-12/05 	SWGN 2A14 	ARP Analytical Reasoning
  	  	  	  	  	  	  	  	  	TR 	03:30 pm-05:25 pm 	  	  	  	TBA 	08/21-12/05 	SWGN 1D11 	ARP Analytical Reasoning
SR 	83331 	CSCE 	146 	001 	COL 	4.000 	30 - Columbia Full Term 	Algorithmic Design II 	TR 	10:05 am-11:20 am 	22 	8 	14 	TBA 	08/21-12/05 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	W 	08:30 am-10:25 am 	  	  	  	TBA 	08/21-12/05 	SWGN 1D15 	 
